sample_id,n_frac,fracture_positions_m,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5,fracture_alpha_ss,fracture_Q_ss_m3_s,fracture_types,pump_closure_tc_s,ramp_type,wavespeed_m_s,H_ext_m,initial_velocity_m_s,H0_realized_m,perf_num_holes,perf_diameter_m,perf_cd,has_fault,fault_cluster_idx,steady_mass_residual,pre_shut_drift_m
260,1,4669.4434,0.010896942,0.00013742456,131182.31,1.0,0.016782388,Type I: 优势发育主进液簇,0.07369767874479294,cosine,1400.1651611328125,167.69671630859375,1.0948915481567383,15171.5400390625,6,0.011467274714164937,0.7105987780871391,0,-1,3.4937608632979594e-14,9.00399754755199e-10
261,3,4652.913|4691.3696|4703.294,0.0030194926|0.026612155|0.0009067049,4.0556595e-05|0.00022907699|5.004107e-06,430935.75|102755.78|79538690.0,0.14796813|0.8337872|0.018244673,0.0024359077|0.013726123|0.00030035074,Type III: 受抑/欠发育弱进液簇|Type I: 优势发育主进液簇|Type IV: 砂堵闭合/未起裂死簇,0.05848323181271553,linear,1459.4656982421875,87.36498260498047,1.0740140676498413,3748.6064453125,8,0.008308589509123842,0.7268142074061539,0,-1,2.992650073065095e-14,2.637534635141492e-11
262,5,4757.9844|4782.4|4803.949|4822.066|4868.541,0.011112776|0.010423866|0.018178577|0.011905474|0.00578039,0.00014323382|0.00011730558|0.00017466523|0.00012696293|7.2174545e-05,65477.426|74610.2|52089.715|67270.5|113039.51,0.2258161|0.18494458|0.27528387|0.20014924|0.1138062,0.003091908|0.0025322891|0.0037692282|0.0027404735|0.0015582517,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇,0.06504072993993759,cosine,1498.206298828125,66.97895812988281,0.8932828307151794,570.0575561523438,12,0.009615046134225137,0.6822379333690969,0,-1,7.19626113798548e-14,3.808509063674137e-11
263,3,4610.9575|4635.878|4652.8105,0.0008844844|0.037757475|0.005,7.745299e-06|0.0002807365|0.0005,64554908.0|53646.707|335602.4,0.010067261|0.36472562|0.6252071,0.00016887648|0.0061182063|0.010487736,Type IV: 砂堵闭合/未起裂死簇|Type I: 优势发育主进液簇|Type V: 沟通天然断层/强微裂缝簇,0.03429235517978668,cosine,1404.546630859375,120.87212371826172,1.0943976640701294,650.8195190429688,8,0.009672028768170918,0.6579987692606697,1,2,1.205787992239818e-13,0.0
264,1,4688.729,0.007392908,0.00011198055,47376.633,1.0,0.012941325,Type I: 优势发育主进液簇,0.04990460351109505,linear,1473.176025390625,156.33375549316406,0.8442985415458679,13552.330078125,16,0.009532289326390183,0.6368603138583268,0,-1,2.0240836526926216e-14,9.913492249324918e-10
265,4,4517.8906|4558.7812|4590.801|4640.121,0.01654159|0.01282818|0.00042040867|0.014869251,0.00017728544|0.00013150088|8.977604e-06|0.00013296123,31893.785|41713.473|84041130.0|36108.035,0.39333785|0.2917798|0.019859653|0.29502273,0.007718582|0.005725679|0.0003897117|0.0057893163,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type IV: 砂堵闭合/未起裂死簇|Type II: 均衡/正常发育簇,0.08145934343338013,cosine,1401.2672119140625,79.94915008544922,1.2802332639694214,2047.7176513671875,12,0.010527228233054027,0.7215932068608848,0,-1,8.769405286570414e-14,2.2282620193436742e-11
266,3,4878.769|4913.279|4950.0,0.015002309|0.0039961427|0.009573427,0.00021738277|6.325925e-05|0.00013541616,316995.94|736283.9|529302.94,0.52157384|0.15268373|0.32574245,0.01151101|0.0033696936|0.0071890582,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.026323990896344185,cosine,1453.546875,142.1743621826172,1.4398424625396729,3083.978271484375,4,0.010252973402290333,0.6864013785351674,0,-1,9.21213314506765e-14,5.638867150992155e-11
267,2,4512.274|4537.5723,0.007718601|0.010605931,6.407699e-05|0.0011728324,218109.31|115190.83,0.055546507|0.9444535,0.0011338849|0.019279368,Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇,0.02300128899514675,linear,1417.8193359375,81.83496856689453,1.331770896911621,471.2020263671875,6,0.01165262291056967,0.6231156743134204,1,1,6.798420689385154e-15,1.6257217794191092e-11
268,4,4558.277|4592.9287|4616.991|4656.8423,0.025427055|0.016176496|0.00085599197|0.0057233186,0.00024260412|0.00019993009|7.2163434e-06|7.509018e-05,9049.582|13056.324|56622570.0|24725.838,0.46225137|0.3809224|0.0137324445|0.14309376,0.010012236|0.008250674|0.00029744094|0.0030993712,Type I: 优势发育主进液簇|Type I: 优势发育主进液簇|Type IV: 砂堵闭合/未起裂死簇|Type III: 受抑/欠发育弱进液簇,0.026829659938812256,cosine,1466.5965576171875,157.6015625,1.4130911827087402,1947.963623046875,16,0.011688022923283347,0.7135844863922762,0,-1,6.695509489722251e-14,0.0
269,4,4681.692|4716.7104|4747.4854|4793.776,0.00887212|0.008170577|0.013987867|0.01352163,7.48595e-05|5.837817e-05|0.00011193717|9.342224e-05,35124.43|36478.613|26007.578|27973.373,0.22110486|0.17242311|0.33057058|0.27590147,0.003651058|0.0028471865|0.0054586423|0.004555903,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.0805363580584526,cosine,1428.2957763671875,99.88787078857422,1.0773026943206787,2530.95458984375,12,0.011368572558432334,0.7457853175079677,0,-1,4.1180902139942646e-14,3.1377567211166024e-11
270,4,4833.421|4857.45|4883.852|4921.6895,0.002415552|0.02951673|0.0007226914|0.006816089,4.1443276e-05|0.00033825578|5.9452095e-06|8.572914e-05,44343.57|8306.043|54819676.0|30312.297,0.087957315|0.7175216|0.012604938|0.18191615,0.0017589207|0.014348592|0.00025206644|0.0036378563,Type III: 受抑/欠发育弱进液簇|Type I: 优势发育主进液簇|Type IV: 砂堵闭合/未起裂死簇|Type II: 均衡/正常发育簇,0.011257119476795197,linear,1477.2574462890625,169.56593322753906,1.304642677307129,2049.10693359375,16,0.01069029958947203,0.6997680882399768,0,-1,8.570633081277784e-14,1.2005330063402653e-10
271,3,4853.4688|4882.4033|4900.341,0.006085471|0.011094663|0.013271291,3.979727e-05|0.00015974803|0.0001418993,383936.44|268495.2|190916.02,0.11680967|0.46739727|0.41579306,0.0018494914|0.0074004764|0.0065834075,Type III: 受抑/欠发育弱进液簇|Type I: 优势发育主进液簇|Type I: 优势发育主进液簇,0.09550364315509796,linear,1499.9434814453125,64.49720764160156,1.0329774618148804,2275.043212890625,6,0.009478970510747779,0.7287745981012805,0,-1,1.2489975992748068e-14,0.0
272,4,4746.235|4766.285|4778.019|4820.85,0.023437455|0.005767821|0.0028611582|0.00033249374,0.00036238474|8.834284e-05|6.5279244e-05|5.300118e-06,77569.02|341379.2|410617.22|80369270.0,0.6943153|0.16989335|0.12559655|0.010194785,0.0123409545|0.003019732|0.0022323881|0.00018120496,Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type IV: 砂堵闭合/未起裂死簇,0.043247584253549576,cosine,1459.8857421875,96.07427978515625,1.1596029996871948,1328.4168701171875,8,0.008880120913684677,0.6330322916968723,0,-1,1.4444415580077904e-14,7.867129170335829e-11
273,2,4533.7896|4550.8457,0.009508483|0.011321972,0.00010749189|0.00013426146,145720.4|118461.0,0.44469184|0.55530816,0.0067937593|0.008483695,Type I: 优势发育主进液簇|Type I: 优势发育主进液簇,0.01675899513065815,linear,1451.24365234375,124.53272247314453,0.9967088103294373,4168.9345703125,12,0.008557663351403268,0.6326604826028465,0,-1,1.469310377576541e-13,4.0381564758718014e-10
274,2,4758.112|4769.2134,0.0017753906|0.022481905,1.5758125e-05|0.00016197898,133246.23|39618.81,0.0887009|0.9112991,0.0011986532|0.012314774,Type III: 受抑/欠发育弱进液簇|Type I: 优势发育主进液簇,0.06618180871009827,cosine,1484.4337158203125,188.86122131347656,0.881622850894928,6010.6015625,12,0.009964736395138148,0.6377898709028372,0,-1,8.729183588256865e-15,2.874003257602453e-10
275,4,4651.1523|4696.408|4731.825|4766.7666,0.027238207|0.00089504133|0.006902762|0.006511268,0.00016723447|3.6361246e-06|7.01973e-05|4.261919e-05,56602.125|73287570.0|236065.28|247984.36,0.58942586|0.012819459|0.24745995|0.15029472,0.00807316|0.00017558364|0.0033893723|0.0020585342,Type I: 优势发育主进液簇|Type IV: 砂堵闭合/未起裂死簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.09595142304897308,cosine,1494.9556884765625,85.14228820800781,0.8935763835906982,2454.95068359375,6,0.010891256102320498,0.6829015101173452,0,-1,1.1069482597257999e-13,1.709850039333105e-10
276,1,4706.7373,0.008054455,0.00061146286,848287.6,1.0,0.021054093,Type V: 沟通天然断层/强微裂缝簇,0.0075340233743190765,linear,1489.5911865234375,134.3116455078125,1.3735796213150024,1780.1265869140625,4,0.008966178591514226,0.6838691202376277,1,0,4.383341969558738e-14,3.0240698833949864e-11
