friction_model,x1,n_total,spacing_m,L_span_m,P_1,P_end,R_end,sum_P
steady,3000.0,2,10.0,10.0,2.7049944876376397,1.2409665337159574,0.45876859985756724,3.945961021353597
steady,3000.0,2,20.0,20.0,2.7052892211877584,1.2495961880180024,0.4619085376273989,3.954885409205761
steady,3000.0,2,30.0,30.0,2.7133671830728887,1.2631238421447155,0.4655189500428127,3.9764910252176042
steady,3000.0,2,40.0,40.0,2.7215481074505834,1.2762520519601206,0.46894341072502765,3.997800159410704
steady,3000.0,2,50.0,50.0,2.7313023922267043,1.265551749888168,0.4633510201909289,3.9968541421148727
steady,3000.0,2,60.0,60.0,2.730955013053874,1.289473796235444,0.4721695487738913,4.020428809289317
steady,3000.0,2,70.0,70.0,2.737130531752661,1.2850618181247209,0.4694923399586135,4.022192349877382
steady,3000.0,2,80.0,80.0,2.732206044337336,1.2934821148522977,0.47342041334441753,4.025688159189634
steady,3000.0,2,90.0,90.0,2.7329431263267274,1.2956471235394056,0.4740849200476589,4.028590249866133
steady,3000.0,2,100.0,100.0,2.7438108528474188,1.2961653797972132,0.47239603941798824,4.039976232644632
steady,3000.0,3,10.0,20.0,2.538948796438972,0.8867735338554146,0.3492679864592652,4.744330181475207
steady,3000.0,3,20.0,40.0,2.4510464382512924,0.4771287956397063,0.19466330306663446,4.062310573347974
steady,3000.0,3,30.0,60.0,2.583012138774629,0.4847510066352768,0.18766888446185961,4.203411768508964
steady,3000.0,3,40.0,80.0,2.6192561415966584,0.4998235136901418,0.19082651205905238,4.254389360307694
steady,3000.0,3,50.0,100.0,2.5979298116076284,0.499108666675927,0.19211784107711244,4.254840141019054
steady,3000.0,3,60.0,120.0,2.509652128754635,0.4909767655971708,0.19563538706091838,4.182005054321657
steady,3000.0,3,70.0,140.0,2.6271775733272205,0.9440400270011102,0.3593362080224823,4.973502486686496
steady,3000.0,3,80.0,160.0,2.666186759922359,0.9392062165151228,0.35226572670493383,5.0221509791902665
steady,3000.0,3,90.0,180.0,2.7397436995242628,0.947537812486096,0.34584907071804905,5.146987341326455
steady,3000.0,3,100.0,200.0,2.7916152999864634,0.9347775904937352,0.3348518653334032,5.211921630603849
steady,3000.0,4,10.0,30.0,2.7381188339228206,0.6337949386001847,0.23147093937196497,5.757303773521613
steady,3000.0,4,20.0,60.0,2.843533027747177,0.4497489597755938,0.15816554806536318,5.224238230709548
steady,3000.0,4,30.0,90.0,3.121821177501196,0.3235209844584329,0.10363213203563097,5.423766725492507
steady,3000.0,4,40.0,120.0,3.050455566261772,0.3268113836160571,0.10713527095120194,5.486614001839158
steady,3000.0,4,50.0,150.0,3.063474470422541,0.4362611943638836,0.142407321678679,5.650163148093515
steady,3000.0,4,60.0,180.0,3.0875232841278337,0.4367277923146014,0.14144923037818277,5.581111366456606
steady,3000.0,4,70.0,210.0,3.039887658454606,0.6931700025009067,0.2280248747262242,6.324188351194287
steady,3000.0,4,80.0,240.0,3.090150687806821,0.8778313282320602,0.284073955259148,6.7068348926385735
steady,3000.0,4,90.0,270.0,3.147049222406161,0.9080057058563726,0.28852605780412055,6.890803728443735
steady,3000.0,4,100.0,300.0,3.1586102046321627,0.9204506347807448,0.2914100110963,6.993299659199316
steady,3000.0,5,10.0,40.0,3.071783368171281,0.4529311214982664,0.1474489139407995,6.907755218634252
steady,3000.0,5,20.0,80.0,2.957823076790051,0.3556503947246923,0.12024059096552132,5.783594134939529
steady,3000.0,5,30.0,120.0,2.772408587375891,0.2367294960220466,0.08538766511544864,5.289654358896026
steady,3000.0,5,40.0,160.0,2.7946973822687053,0.2817253904607865,0.10080711859832381,5.3002520383007985
steady,3000.0,5,50.0,200.0,2.942837284999333,0.3617001862750884,0.12290865965264211,5.860462622010081
steady,3000.0,5,60.0,240.0,2.938614409232612,0.3924021384225646,0.13353304781658518,5.86296851484386
steady,3000.0,5,70.0,280.0,3.221406205076184,0.4563956750974231,0.1416759160574814,7.332233357902441
steady,3000.0,5,80.0,320.0,3.166656403233411,0.7469694100258157,0.2358858413761278,8.056482028975735
steady,3000.0,5,90.0,360.0,2.977887251240826,0.7649634380908883,0.25688126297331887,7.794820528779258
steady,3000.0,5,100.0,400.0,2.7670958709158664,0.7722900448681402,0.2790976825145289,7.309270850412716
steady,3000.0,6,10.0,50.0,3.069125708677348,0.3262485412589139,0.10630015588364805,7.502704360206018
steady,3000.0,6,20.0,100.0,2.971184469706205,0.3092752197471444,0.10409155772738876,6.480591326127695
steady,3000.0,6,30.0,150.0,2.9471472168080544,0.1995209703249095,0.06769969589133835,5.978730642760908
steady,3000.0,6,40.0,200.0,3.1421693109254183,0.2161271441610552,0.06878278118546144,6.372985462152084
steady,3000.0,6,50.0,250.0,3.283218151890248,0.2536695727177695,0.07726247875783833,6.538541656104651
steady,3000.0,6,60.0,300.0,3.2258069038751613,0.2549549769989827,0.07903603178873023,6.659723468385836
steady,3000.0,6,70.0,350.0,3.1592095253752457,0.26658760063801,0.08438427350156372,7.800215103852121
steady,3000.0,6,80.0,400.0,2.99432018270848,0.6122585801483086,0.20447331707676522,8.513744121210431
steady,3000.0,6,90.0,450.0,2.900655704988011,0.6327861738093338,0.21815280342344154,8.397157813347803
steady,3000.0,6,100.0,500.0,2.9309726640576126,0.662981812698456,0.22619856569410302,8.68306630591279
steady,3000.0,7,10.0,60.0,3.3971305249123454,0.2430702295930398,0.07155163094574107,8.895114049311745
steady,3000.0,7,20.0,120.0,3.2259248713171083,0.2334462281137351,0.07236567416352188,7.216459043579409
steady,3000.0,7,30.0,180.0,3.201148624760361,0.1530391049504689,0.04780756000103727,6.44524727043326
steady,3000.0,7,40.0,240.0,3.1431951974943257,0.1785009476154198,0.0567896476037238,6.500124754052327
steady,3000.0,7,50.0,300.0,3.379175622902844,0.192465631145383,0.056956386001638916,7.174313070156981
steady,3000.0,7,60.0,360.0,2.9130156512192014,0.2217289128712096,0.0761166225723532,6.58234655002158
