window,t_lo,t_hi,dt_shift_ms,est_ms,d_est_ms,n_peaks_k0,n_peaks_k02
"[6.5,7.5]",6.5,7.5,277.0000000000001,100.99999999999997,100.00000000000054,3,1
"[6.4,7.2]",6.4,7.2,277.0000000000001,100.99999999999997,100.00000000000054,3,1
"[6.6,7.0]",6.6,7.0,277.0000000000001,100.99999999999997,100.00000000000054,3,1
"[6.5,8.0]",6.5,8.0,277.0000000000001,100.99999999999997,100.00000000000054,3,1
