window_type,window_len_s,tau_cep_steady_s,dx_cep_steady_m,tau_cep_k0.01_s,dx_cep_k0.01_m,delta_x_cep_m
hann,10.0,5.596999999999383,-42.1750000004472,5.599999999999383,-40.00000000044702,2.175000000000182
hann,30.0,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
hann,50.0,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
hamming,10.0,5.652999999999377,-1.575000000451837,5.671999999999375,12.19999999954689,13.774999999998727
hamming,30.0,5.653999999999377,-0.8500000004514732,5.667999999999376,9.299999999547254,10.149999999998727
hamming,50.0,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
boxcar,10.0,5.652999999999377,-1.575000000451837,5.666999999999375,8.57499999954689,10.149999999998727
boxcar,30.0,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
boxcar,50.0,5.653999999999377,-0.8500000004514732,5.666999999999375,8.57499999954689,9.424999999998363
