x1,spacing_m,n_total,A_fit,gamma_local,R2_local,P_1
2000.0,10.0,2,2.285617513806893,0.5755718628723127,1.0,2.285617513806893
2000.0,10.0,3,1.7930675064938177,0.5418707212457513,0.9791495979558278,1.819158277989421
2000.0,10.0,4,1.969835284753982,0.6482734474861007,0.9356871969109474,2.0428518898348846
2000.0,10.0,5,2.0501254527650548,0.5392386223288815,0.9033408627584106,2.1815653179856374
2000.0,10.0,6,2.0751854633520486,0.400752658425917,0.9417926776975076,2.21424639331295
2000.0,10.0,7,1.9575589740302541,0.3693010190639219,0.9270155654886746,2.1174476032432503
2000.0,10.0,8,1.6867501536268343,0.27456272145354804,0.9258094333577017,1.8636942966668948
2000.0,20.0,2,2.2787264300579264,0.5738698897866802,1.0,2.2787264300579264
2000.0,20.0,3,1.7760206676866388,0.5366027498496636,0.9811126801569169,1.80066057269759
2000.0,20.0,4,1.9343464090846014,0.5935335638559268,0.9525033366031624,1.99902501023102
2000.0,20.0,5,2.0201153617066097,0.5816933253564462,0.9283884731496608,2.126748158268585
2000.0,20.0,6,1.9620612157055923,0.4029723226247111,0.9765623088775,2.046646152434848
2000.0,20.0,7,1.9706039159220121,0.45635780281817007,0.9235192636745488,2.132957309096535
2000.0,20.0,8,1.7379303778987223,0.32701893573645013,0.9690760797975257,1.8572875424348496
2000.0,30.0,2,2.2734491651710904,0.5681620622502022,1.0,2.2734491651710904
2000.0,30.0,3,1.7414741685127684,0.5199217655130034,0.9835295854092245,1.764144788841058
2000.0,30.0,4,1.7551558612481237,0.6960508589878617,0.9802257967109811,1.79005870525476
2000.0,30.0,5,1.8787551853417315,0.5592702964525772,0.9803868667773953,1.9339738902781665
2000.0,30.0,6,1.7953123915869378,0.4596107472346999,0.9948950456221918,1.830037565823546
2000.0,30.0,7,1.701312607116943,0.48240068931864705,0.9908591854433562,1.7485424180073943
2000.0,30.0,8,1.6016512090316553,0.4337548394898903,0.984353007472726,1.6685000164926986
2000.0,40.0,2,2.2556855319420506,0.5612986444252734,1.0,2.2556855319420506
2000.0,40.0,3,1.489744879303875,0.8155777136426888,0.9996130986295596,1.4872575826138446
2000.0,40.0,4,1.7971186989836276,0.9458961948476599,0.9920460792831877,1.8089158714910412
2000.0,40.0,5,1.6870402540421137,0.6041962571348861,0.984536666790049,1.7136767922383662
2000.0,40.0,6,1.7958172678249258,0.7086377315183845,0.9829318964786846,1.8159227468021264
2000.0,40.0,7,1.6413400778153355,0.5799880944340866,0.9752712646189519,1.6853530669962469
2000.0,40.0,8,1.596592512537274,0.5499138665557182,0.972974776713585,1.6509576108955917
2000.0,50.0,2,2.238217964423477,0.5418662701991904,1.0,2.238217964423477
2000.0,50.0,3,1.4812477022140786,0.8211149075637202,0.9994066900256744,1.478198469689306
2000.0,50.0,4,1.7491833655733486,0.89468253992824,0.9926851364351557,1.7585675698786984
2000.0,50.0,5,1.556168798443807,0.6488743264139946,0.9877717399364053,1.5775269663796654
2000.0,50.0,6,1.9244961938195493,0.8050414110448629,0.9774244777580786,1.9565598551726824
2000.0,50.0,7,1.6895421910716446,0.5527753840485293,0.9777227524066883,1.7370190189433838
2000.0,50.0,8,1.7068339996235977,0.5583598369065533,0.9720138907725967,1.7628680094351796
2000.0,60.0,2,2.229632342246466,0.5228318592323649,1.0,2.229632342246466
2000.0,60.0,3,1.4962309297456464,0.8046912397389098,0.9989090605813153,1.4919777152037887
2000.0,60.0,4,1.5736639585940246,0.7946702643107023,0.9982962727324464,1.5711275011265573
2000.0,60.0,5,1.5903761644409669,0.6670367624284803,0.9957275611874966,1.6016407380638251
2000.0,60.0,6,1.9719296638575832,0.8335872035694153,0.986254740159623,1.9972713628001049
2000.0,60.0,7,1.8241267215166515,0.6559484634017622,0.9913556132184669,1.8410056791863476
2000.0,60.0,8,1.8201237436696127,0.5895305754428333,0.9892308932512756,1.8519540612255232
2000.0,70.0,2,2.2119332393887454,0.5140037866621553,1.0,2.2119332393887454
2000.0,70.0,3,1.5925318525742402,0.8145419606804749,0.996164905763048,1.5840607552814123
2000.0,70.0,4,1.5436939630794249,0.682514633048375,0.9896316306766891,1.5510792657957715
2000.0,70.0,5,1.559430497182044,0.6519878768682281,0.9855071567517597,1.581916832034039
2000.0,70.0,6,1.9839072474843067,0.7312297211467764,0.9768295577338965,2.017967926850536
2000.0,70.0,7,1.8421941106164472,0.5840647960430332,0.981043139822972,1.8885481657465293
2000.0,70.0,8,1.7852188577442747,0.5199239062167265,0.9665219294025232,1.8673476686800508
2000.0,80.0,2,2.2007728448832173,0.49983813236916813,1.0,2.2007728448832173
2000.0,80.0,3,1.631529169700842,0.835971279054867,0.9972133675389313,1.6243055231314838
2000.0,80.0,4,1.5793942856045393,0.6263220180122215,0.9890466653009884,1.5896958392367682
