x1,spacing_m,n_total,min_Psi_local,min_Psi_xfer,median_Psi_local,min_I,min_E_local,min_E_xfer,min_Gamma,P_n,gamma_local,gamma_cal,R2_local,abs_mismatch,rel_mismatch
2000.0,10.0,1,111.02775964439908,111.02775964439908,111.02775964439908,1.0,1.0,1.0,111.02775964439908,5.551387982219954,,,,0.0,0.0
2000.0,10.0,2,25.70785649195241,23.7663942810174,35.710103384045134,1.0,1.0,0.9244798098377917,25.70785649195241,1.2853928245976205,0.5755718628723127,0.4970477954716243,1.0,1.9414622109350077,0.07552019016220832
2000.0,10.0,3,13.675191445581646,13.675191445581646,17.424976375609898,1.0,0.9139838313363612,0.8613870079030459,13.675191445581646,0.6837595722790824,0.5418707212457513,0.4970477954716243,0.9791495979558278,0.0,0.0
2000.0,10.0,4,9.735285523000973,9.247713784502862,12.233560579160052,1.0,0.7833541038703963,0.649343785609781,9.735285523000973,0.4867642761500487,0.6482734474861007,0.4970477954716243,0.9356871969109474,0.48757173849811153,0.050082941824988604
2000.0,10.0,5,9.565643477556671,9.565643477556671,12.646134772646818,1.0,0.7453647017742034,0.6715182121318409,9.565643477556671,0.4782821738778336,0.5392386223288815,0.4970477954716243,0.9033408627584106,0.0,0.0
2000.0,10.0,6,9.15271902737162,9.15271902737162,13.975227808655383,1.0,0.8376985693935753,0.8644486312637548,9.15271902737162,0.4576359513685811,0.400752658425917,0.4970477954716243,0.9417926776975076,0.0,0.0
2000.0,10.0,7,8.336358032056562,8.336358032056562,11.481869663204487,1.0,0.8320214885931217,0.897504273165849,8.336358032056562,0.4168179016028281,0.3693010190639219,0.4970477954716243,0.9270155654886746,0.0,0.0
2000.0,10.0,8,7.866949955533065,7.866949955533065,11.680032272642212,1.0,0.8614875647853414,0.9789780426184151,7.866949955533065,0.3933474977766533,0.27456272145354804,0.4970477954716243,0.9258094333577017,0.0,0.0
2000.0,20.0,1,111.02775964439908,111.02775964439908,111.02775964439908,1.0,1.0,1.0,111.02775964439908,5.551387982219954,,,,0.0,0.0
2000.0,20.0,2,25.674007206621493,25.6740072066215,35.62426790389001,1.0,0.9999999999999998,1.0,25.6740072066215,1.283700360331075,0.5738698897866802,0.6827223356407702,1.0,7.105427357601002e-15,2.7675568135575136e-16
