spacing_m,gamma_cal,gamma_cal_std,n_fit
10.0,0.4970477954716243,0.05427355917795722,6
20.0,0.6827223356407702,0.07428788203409688,6
30.0,0.7386326693705875,0.0644815369497506,6
40.0,0.7296689100340923,0.05884048390584237,6
50.0,0.6953855273318986,0.0745651350793693,6
60.0,0.6656134607617791,0.09573222811751499,6
70.0,0.4887470556694542,0.05712324679035754,6
80.0,0.40543448826779266,0.10168579056437023,6
90.0,0.396741814895877,0.1049194022024914,6
100.0,0.39305674204113256,0.1090476448367297,6
