case_label,dt_ms,k,t_onset_s,dx_onset_m,delta_x_onset_m,t_peak_s,dx_peak_m,delta_x_peak_m,t_E50_s,dx_E50_m,delta_x_E50_m,tau_cep_s,dx_cep_m,delta_x_cep_m
dt_0.5ms_k0.0,0.5,0.0,6.6555,0.2375000000001819,0.0,6.6555,0.2375000000001819,0.0,6.655495410996498,0.2341729724612378,0.0,5.656000000001889,0.6000000013691533,0.0
dt_0.5ms_k0.01,0.5,0.01,6.6565,0.9625000000005457,0.7250000000003638,6.6695,10.387499999999818,10.149999999999636,6.668810459519299,9.887583151491526,9.653410179030288,5.669500000001893,10.387500001372246,9.787500000003092
dt_1.0ms_k0.0,1.0,0.0,6.6530000000000005,-1.574999999999818,0.0,6.6530000000000005,-1.574999999999818,0.0,6.6529818288710265,-1.5881740685053956,0.0,5.653999999999377,-0.8500000004514732,0.0
dt_1.0ms_k0.01,1.0,0.01,6.6530000000000005,-1.574999999999818,0.0,6.667,8.574999999999818,10.149999999999636,6.665921114160418,7.792807766302758,9.380981834808154,5.666999999999375,8.57499999954689,9.424999999998363
dt_2.0ms_k0.0,2.0,0.0,6.654,-0.8500000000003638,0.0,6.654,-0.8500000000003638,0.0,6.6539293529721455,-0.9012190951943921,0.0,5.656000000000005,0.6000000000040018,0.0
dt_2.0ms_k0.01,2.0,0.01,6.654,-0.8500000000003638,0.0,6.668,9.300000000000182,10.150000000000546,6.666256737961885,8.03613502236658,8.937354117560972,5.6680000000000055,9.30000000000382,8.699999999999818
