n,friction,k,kleak_m2_s_sqrtm,kleak_sci,f0_Hz,decay_rate_alpha,damping_ratio_zeta,fit_r2,tau_cep_s,x_cep_m,dx_cep_m,delta_x_cep_m
1,steady,0.0,1e-05,1e-05,0.061223240342040575,0.01459117734943819,0.037930988097324654,0.7655599310798759,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.0
1,steady,0.0,5e-05,5e-05,0.061223240342040575,0.0148681221574683,0.038650929330676216,0.7710481496260427,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.0
1,steady,0.0,0.0001,1e-04,0.061223240342040575,0.015290364389870355,0.03974858339298167,0.7786484839720673,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.0
1,steady,0.0,0.0005,5e-04,0.061223240342040575,0.021690922526265328,0.056387370563722214,0.8456449724635712,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.0
1,brunone_k0.01,0.01,1e-05,1e-05,0.061223240342040575,0.01571375555650464,0.04084922420609165,0.7758714615727892,5.666999999999375,4108.574999999547,8.57499999954689,9.424999999998363
1,brunone_k0.01,0.01,5e-05,5e-05,0.061223240342040575,0.01596479245728162,0.041501815663745854,0.7804218724659943,5.666999999999375,4108.574999999547,8.57499999954689,9.424999999998363
1,brunone_k0.01,0.01,0.0001,1e-04,0.061223240342040575,0.01635475244762357,0.04251554933292525,0.7867775732234469,5.666999999999375,4108.574999999547,8.57499999954689,9.424999999998363
1,brunone_k0.01,0.01,0.0005,5e-04,0.061223240342040575,0.02245448636358653,0.058372318736947815,0.8458787653954505,5.666999999999375,4108.574999999547,8.57499999954689,9.424999999998363
1,brunone_k0.02,0.02,1e-05,1e-05,0.061223240342040575,0.017227773403217045,0.04478504045638186,0.7865852153171362,5.676999999999374,4115.824999999546,15.82499999954598,16.674999999997453
1,brunone_k0.02,0.02,5e-05,5e-05,0.061223240342040575,0.017442315186370207,0.04534275979789029,0.7901608851703444,5.676999999999374,4115.824999999546,15.82499999954598,16.674999999997453
1,brunone_k0.02,0.02,0.0001,1e-04,0.061223240342040575,0.017783009755885287,0.04622842387773901,0.7952109072018926,5.676999999999374,4115.824999999546,15.82499999954598,16.674999999997453
1,brunone_k0.02,0.02,0.0005,5e-04,0.061223240342040575,0.02340359942771479,0.060839617672208204,0.8460056168949499,5.676999999999374,4115.824999999546,15.82499999954598,16.674999999997453
1,brunone_k0.05,0.05,1e-05,1e-05,0.061223240342040575,0.023324861165704168,0.060634930962725916,0.8120293365074935,5.7029999999993715,4134.6749999995445,34.674999999544525,35.524999999996
1,brunone_k0.05,0.05,5e-05,5e-05,0.061223240342040575,0.023473777885908573,0.061022052454452795,0.814051953914595,5.7029999999993715,4134.6749999995445,34.674999999544525,35.524999999996
1,brunone_k0.05,0.05,0.0001,1e-04,0.061223240342040575,0.023701615498610835,0.061614335418915915,0.816994727989092,5.703999999999372,4135.399999999545,35.39999999954489,36.24999999999636
1,brunone_k0.05,0.05,0.0005,5e-04,0.061223240342040575,0.027744724601369505,0.07212473629885785,0.8493540919438004,5.703999999999372,4135.399999999545,35.39999999954489,36.24999999999636
