friction_model,x1,spacing_m,n_total,frac_idx,x_f,P_2d,P_2d_profile,valley,sigma_ref,Gamma_k,A_fit,gamma_local,R2_local,gamma_cal,P_env_local,P_env_xfer,E_k_local,E_k_xfer,I_k,Psi_k_local,Psi_k_xfer
steady,2000.0,10.0,1,1,1999.709976798144,5.551387982219954,,,0.05,111.02775964439908,,,,0.4970477954716243,,,1.0,1.0,1.0,111.02775964439908,111.02775964439908
steady,2000.0,10.0,2,1,1999.709976798144,2.285617513806893,2.285617513806893,0.0,0.05,45.712350276137855,2.285617513806893,0.5755718628723127,1.0,0.4970477954716243,2.285617513806893,2.285617513806893,1.0,1.0,1.0,45.712350276137855,45.712350276137855
steady,2000.0,10.0,2,2,2009.8607888631088,1.2853928245976205,1.2853928245976205,0.0,0.05,25.70785649195241,2.285617513806893,0.5755718628723127,1.0,0.4970477954716243,1.2853928245976205,1.3903957781654035,1.0,0.9244798098377917,1.0,25.70785649195241,23.7663942810174
steady,2000.0,10.0,3,1,1999.709976798144,1.819158277989421,1.8191582779894213,0.0,0.05,36.38316555978842,1.7930675064938177,0.5418707212457513,0.9791495979558278,0.4970477954716243,1.7930675064938177,1.819158277989421,1.0,1.0,1.0,36.38316555978842,36.38316555978842
steady,2000.0,10.0,3,2,2009.8607888631088,0.9532431416282472,0.9532431416282471,0.0,0.05,19.06486283256494,1.7930675064938177,0.5418707212457513,0.9791495979558278,0.4970477954716243,1.042954053393356,1.1066374729157051,0.9139838313363612,0.8613870079030459,1.0,17.424976375609898,16.422225151425103
steady,2000.0,10.0,3,3,2020.011600928074,0.6837595722790824,0.6837595722790824,0.0,0.05,13.675191445581646,1.7930675064938177,0.5418707212457513,0.9791495979558278,0.4970477954716243,0.6066437284431273,0.673194032250326,1.0,1.0,1.0,13.675191445581646,13.675191445581646
steady,2000.0,10.0,4,1,1999.709976798144,2.0428518898348846,2.0428518898348846,0.0,0.05,40.85703779669769,1.969835284753982,0.6482734474861007,0.9356871969109474,0.4970477954716243,1.969835284753982,2.0428518898348846,1.0,1.0,1.0,40.85703779669769,40.85703779669769
steady,2000.0,10.0,4,2,2009.8607888631088,0.8069496814033619,0.8069496814033619,0.0,0.05,16.138993628067237,1.969835284753982,0.6482734474861007,0.9356871969109474,0.4970477954716243,1.0301212151904031,1.2427156450655448,0.7833541038703963,0.649343785609781,1.0,12.642546890884645,10.479755218381314
steady,2000.0,10.0,4,3,2020.011600928074,0.5912287133717731,0.5912287133717731,0.0,0.05,11.82457426743546,1.969835284753982,0.6482734474861007,0.9356871969109474,0.4970477954716243,0.5386997208337053,0.7559736377244147,1.0,0.7820758342201631,1.0,11.82457426743546,9.247713784502862
steady,2000.0,10.0,4,4,2030.1624129930392,0.4867642761500487,0.48676427615004875,0.0,0.05,9.735285523000973,1.969835284753982,0.6482734474861007,0.9356871969109474,0.4970477954716243,0.28171188491897364,0.4598768376366117,1.0,1.0,1.0,9.735285523000973,9.735285523000973
steady,2000.0,10.0,5,1,1999.709976798144,2.1815653179856374,2.1815653179856374,0.0,0.05,43.631306359712745,2.0501254527650548,0.5392386223288815,0.9033408627584106,0.4970477954716243,2.0501254527650548,2.1815653179856374,1.0,1.0,1.0,43.631306359712745,43.631306359712745
steady,2000.0,10.0,5,2,2009.8607888631088,0.8911707044445839,0.8911707044445839,0.0,0.05,17.823414088891678,2.0501254527650548,0.5392386223288815,0.9033408627584106,0.4970477954716243,1.1956169943697577,1.3270983397686584,0.7453647017742034,0.6715182121318409,1.0,13.284943726964881,11.968747163058003
steady,2000.0,10.0,5,3,2020.011600928074,0.6639964627028113,0.6639964627028113,0.0,0.05,13.279929254056226,2.0501254527650548,0.5392386223288815,0.9033408627584106,0.4970477954716243,0.6972744010849538,0.8073056483327924,0.9522742576948727,0.8224845993262452,1.0,12.646134772646818,10.922537291603318
steady,2000.0,10.0,5,4,2030.1624129930392,0.5555519788608685,0.5555519788608685,0.0,0.05,11.111039577217369,2.0501254527650548,0.5392386223288815,0.9033408627584106,0.4970477954716243,0.4066449311927569,0.49110332693479447,1.0,1.0,1.0,11.111039577217369,11.111039577217369
steady,2000.0,10.0,5,5,2040.3132250580045,0.4782821738778336,0.47828217387783367,0.0,0.05,9.565643477556671,2.0501254527650548,0.5392386223288815,0.9033408627584106,0.4970477954716243,0.23715211659493443,0.2987498950670067,1.0,1.0,1.0,9.565643477556671,9.565643477556671
steady,2000.0,10.0,6,1,1999.709976798144,2.21424639331295,2.21424639331295,0.0,0.05,44.284927866259,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,2.0751854633520486,2.21424639331295,1.0,1.0,1.0,44.284927866259,44.284927866259
steady,2000.0,10.0,6,2,2009.8607888631088,1.1643941695135278,1.1643941695135278,0.0,0.05,23.287883390270554,2.0751854633520486,0.400752658425917,0.9417926776975076,0.4970477954716243,1.3899918324516813,1.3469790192290276,0.8376985693935753,0.8644486312637548,1.0,19.50822660023405,20.13117892174931
