friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_2d,alpha_2d,tau_round_sec
steady,2000.0,1,10.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,20.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,30.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,40.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,50.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,60.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,70.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,80.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,90.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,1,100.0,1,2000.0,1999.709976798144,0.29002320185600183,5.551387982219954,1.0,2.7586206896551726
steady,2000.0,2,10.0,1,2000.0,1999.709976798144,0.29002320185600183,2.285617513806893,1.0,2.7586206896551726
steady,2000.0,2,10.0,2,2010.0,2009.8607888631088,0.13921113689116282,1.2853928245976205,0.5623831707767623,2.7586206896551726
steady,2000.0,2,20.0,1,2000.0,1999.709976798144,0.29002320185600183,2.2787264300579264,1.0,2.7586206896551726
steady,2000.0,2,20.0,2,2020.0,2020.011600928074,0.01160092807390356,1.283700360331075,0.5633411467906846,2.7586206896551726
steady,2000.0,2,30.0,1,2000.0,1999.709976798144,0.29002320185600183,2.2734491651710904,1.0,2.7586206896551726
steady,2000.0,2,30.0,2,2030.0,2030.1624129930392,0.16241299303919732,1.2880585336890829,0.5665657950140042,2.7586206896551726
steady,2000.0,2,40.0,1,2000.0,1999.709976798144,0.29002320185600183,2.2556855319420506,1.0,2.7586206896551726
steady,2000.0,2,40.0,2,2040.0,2040.3132250580045,0.3132250580044911,1.286795845241166,0.5704677478395177,2.7586206896551726
steady,2000.0,2,50.0,1,2000.0,1999.709976798144,0.29002320185600183,2.238217964423477,1.0,2.7586206896551726
steady,2000.0,2,50.0,2,2050.0,2050.46403712297,0.46403712296978483,1.3018856681528013,0.5816617008916477,2.7586206896551726
steady,2000.0,2,60.0,1,2000.0,1999.709976798144,0.29002320185600183,2.229632342246466,1.0,2.7586206896551726
steady,2000.0,2,60.0,2,2060.0,2060.614849187935,0.6148491879348512,1.3218137463226294,0.592839331075919,2.7586206896551726
steady,2000.0,2,70.0,1,2000.0,1999.709976798144,0.29002320185600183,2.2119332393887454,1.0,2.7586206896551726
steady,2000.0,2,70.0,2,2070.0,2069.3155452436195,0.6844547563805463,1.3229487086831568,0.5980961292704955,2.7586206896551726
steady,2000.0,2,80.0,1,2000.0,1999.709976798144,0.29002320185600183,2.2007728448832173,1.0,2.7586206896551726
steady,2000.0,2,80.0,2,2080.0,2079.4663573085845,0.5336426914154799,1.3350522897468493,0.606628845339871,2.7586206896551726
steady,2000.0,2,90.0,1,2000.0,1999.709976798144,0.29002320185600183,2.199812297185495,1.0,2.7586206896551726
steady,2000.0,2,90.0,2,2090.0,2089.6171693735496,0.38283062645041355,1.313638882983918,0.5971595325040353,2.7586206896551726
steady,2000.0,2,100.0,1,2000.0,1999.709976798144,0.29002320185600183,2.184525990292413,1.0,2.7586206896551726
steady,2000.0,2,100.0,2,2100.0,2099.767981438515,0.23201856148489242,1.3051270973127744,0.5974417805567397,2.7586206896551726
steady,2000.0,3,10.0,1,2000.0,1999.709976798144,0.29002320185600183,1.819158277989421,1.0,2.7586206896551726
steady,2000.0,3,10.0,2,2010.0,2009.8607888631088,0.13921113689116282,0.9532431416282472,0.5240023109378887,2.7586206896551726
steady,2000.0,3,10.0,3,2020.0,2020.011600928074,0.01160092807390356,0.6837595722790824,0.3758659048814545,2.7586206896551726
steady,2000.0,3,20.0,1,2000.0,1999.709976798144,0.29002320185600183,1.80066057269759,1.0,2.7586206896551726
steady,2000.0,3,20.0,2,2020.0,2020.011600928074,0.01160092807390356,0.9542177654877808,0.529926505836831,2.7586206896551726
steady,2000.0,3,20.0,3,2040.0,2040.3132250580045,0.3132250580044911,0.6793050749695435,0.3772532620914051,2.7586206896551726
steady,2000.0,3,30.0,1,2000.0,1999.709976798144,0.29002320185600183,1.764144788841058,1.0,2.7586206896551726
steady,2000.0,3,30.0,2,2030.0,2030.1624129930392,0.16241299303919732,0.9591641862354474,0.543699243000096,2.7586206896551726
steady,2000.0,3,30.0,3,2060.0,2060.614849187935,0.6148491879348512,0.6797581487190096,0.3853187975379117,2.7586206896551726
steady,2000.0,3,40.0,1,2000.0,1999.709976798144,0.29002320185600183,1.4872575826138446,1.0,2.7586206896551726
steady,2000.0,3,40.0,2,2040.0,2040.3132250580045,0.3132250580044911,0.670283796298765,0.4506844033840769,2.7586206896551726
steady,2000.0,3,40.0,3,2080.0,2079.4663573085845,0.5336426914154799,0.2788385048533542,0.1874850114149679,2.7586206896551726
steady,2000.0,3,50.0,1,2000.0,1999.709976798144,0.29002320185600183,1.478198469689306,1.0,2.7586206896551726
steady,2000.0,3,50.0,2,2050.0,2050.46403712297,0.46403712296978483,0.6655234257802886,0.4502260281193303,2.7586206896551726
steady,2000.0,3,50.0,3,2100.0,2099.767981438515,0.23201856148489242,0.2709381366803713,0.1832894176499305,2.7586206896551726
steady,2000.0,3,60.0,1,2000.0,1999.709976798144,0.29002320185600183,1.4919777152037887,1.0,2.7586206896551726
steady,2000.0,3,60.0,2,2060.0,2060.614849187935,0.6148491879348512,0.6881737440835428,0.4612493451281512,2.7586206896551726
steady,2000.0,3,60.0,3,2120.0,2120.069605568445,0.0696055684447856,0.2779979756713993,0.1863285039974123,2.7586206896551726
steady,2000.0,3,70.0,1,2000.0,1999.709976798144,0.29002320185600183,1.5840607552814123,1.0,2.7586206896551726
steady,2000.0,3,70.0,2,2070.0,2069.3155452436195,0.6844547563805463,0.743498060138091,0.4693620858033357,2.7586206896551726
steady,2000.0,3,70.0,3,2140.0,2140.371229698376,0.37122969837582787,0.2691141991051788,0.1698888115294353,2.7586206896551726
steady,2000.0,3,80.0,1,2000.0,1999.709976798144,0.29002320185600183,1.6243055231314838,1.0,2.7586206896551726
steady,2000.0,3,80.0,2,2080.0,2079.4663573085845,0.5336426914154799,0.7405223495705203,0.4559008998152478,2.7586206896551726
steady,2000.0,3,80.0,3,2160.0,2160.672853828306,0.6728538283059606,0.2680866800174254,0.1650469546520925,2.7586206896551726
steady,2000.0,3,90.0,1,2000.0,1999.709976798144,0.29002320185600183,1.958728298726607,1.0,2.7586206896551726
