n,D_m,k,t_onset,t_peak,t_E50,tau_cep,dt_onset_ms,dt_peak_ms,dt_E50_ms,dt_cep_ms,d_onset_m,d_peak_m,d_E50_m,d_cep_m
1,0,0.0,6.6530000000000005,6.654,6.6529999999660845,5.653999999999377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0.01,6.6530000000000005,6.667,6.666004630565294,5.666999999999375,0.0,12.9999999999999,13.004630599209754,12.999999999998124,0.0,9.424999999999928,9.428357184427071,9.42499999999864
1,0,0.02,6.654,6.68,6.678668479715492,5.676999999999374,0.9999999999994458,25.9999999999998,25.66847974940778,22.999999999997023,0.7249999999995982,18.849999999999856,18.60964781832064,16.67499999999784
1,0,0.05,6.659,6.718,6.713595486927578,5.703999999999372,5.999999999999339,64.00000000000006,60.59548696149353,49.99999999999449,4.349999999999521,46.40000000000004,43.93172804708281,36.24999999999601
4,20,0.0,6.6530000000000005,6.654,6.653076932798647,5.654000000001888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,0.01,6.654,6.667,6.666160828349197,5.6670000000018925,0.9999999999994458,12.9999999999999,13.083895550550118,13.000000000004341,0.7249999999995982,9.424999999999928,9.485824274148836,9.425000000003148
4,20,0.02,6.658,6.68,6.678849392229143,5.681000000001897,4.999999999999893,25.9999999999998,25.77245943049622,27.000000000009017,3.6249999999999227,18.849999999999856,18.68503308710976,19.575000000006536
4,20,0.05,6.6690000000000005,6.721,6.719393506238549,5.705000000001905,16.000000000000014,67.00000000000017,66.31657343990227,51.00000000001703,11.60000000000001,48.575000000000124,48.07951574392915,36.97500000001235
