friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,sum_P,mean_P,b_topological
steady,3000.0,1,10.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,20.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,30.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,40.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,50.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,60.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,70.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,80.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,90.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,1,100.0,5.157394867254647,5.157394867254647,1.0,5.157394867254647,5.157394867254647,0.0
steady,3000.0,2,10.0,2.7049944876376397,1.2409665337159574,0.45876859985756724,3.945961021353597,1.9729805106767986,0.7792093357866211
steady,3000.0,2,20.0,2.7052892211877584,1.2495961880180024,0.4619085376273989,3.954885409205761,1.9774427046028804,0.7723883780026105
steady,3000.0,2,30.0,2.7133671830728887,1.2631238421447155,0.4655189500428127,3.9764910252176042,1.9882455126088021,0.7646024740864881
steady,3000.0,2,40.0,2.7215481074505834,1.2762520519601206,0.46894341072502765,3.997800159410704,1.998900079705352,0.757273177250702
steady,3000.0,2,50.0,2.7313023922267043,1.265551749888168,0.4633510201909289,3.9968541421148727,1.9984270710574363,0.7692703691801354
steady,3000.0,2,60.0,2.730955013053874,1.289473796235444,0.4721695487738913,4.020428809289317,2.0102144046446586,0.7504171443942993
steady,3000.0,2,70.0,2.737130531752661,1.2850618181247209,0.4694923399586135,4.022192349877382,2.011096174938691,0.7561032957840328
steady,3000.0,2,80.0,2.732206044337336,1.2934821148522977,0.47342041334441753,4.025688159189634,2.012844079594817,0.7477714621212834
steady,3000.0,2,90.0,2.7329431263267274,1.2956471235394056,0.4740849200476589,4.028590249866133,2.0142951249330663,0.7463688171149298
steady,3000.0,2,100.0,2.7438108528474188,1.2961653797972132,0.47239603941798824,4.039976232644632,2.019988116322316,0.74993757865261
steady,3000.0,3,10.0,2.538948796438972,0.8867735338554146,0.3492679864592652,4.744330181475207,1.581443393825069,0.5518010355396668
steady,3000.0,3,20.0,2.4510464382512924,0.4771287956397063,0.19466330306663446,4.062310573347974,1.3541035244493245,0.808722446670104
steady,3000.0,3,30.0,2.583012138774629,0.4847510066352768,0.18766888446185961,4.203411768508964,1.4011372561696547,0.8335808990954507
steady,3000.0,3,40.0,2.6192561415966584,0.4998235136901418,0.19082651205905238,4.254389360307694,1.4181297867692313,0.8297532071055214
steady,3000.0,3,50.0,2.5979298116076284,0.499108666675927,0.19211784107711244,4.254840141019054,1.4182800470063512,0.8214968984037503
steady,3000.0,3,60.0,2.509652128754635,0.4909767655971708,0.19563538706091838,4.182005054321657,1.3940016847738856,0.8032938795607556
steady,3000.0,3,70.0,2.6271775733272205,0.9440400270011102,0.3593362080224823,4.973502486686496,1.6578341622288322,0.534960153652129
steady,3000.0,3,80.0,2.666186759922359,0.9392062165151228,0.35226572670493383,5.0221509791902665,1.6740503263967554,0.5438034145211528
steady,3000.0,3,90.0,2.7397436995242628,0.947537812486096,0.34584907071804905,5.146987341326455,1.7156624471088184,0.5506270137671878
steady,3000.0,3,100.0,2.7916152999864634,0.9347775904937352,0.3348518653334032,5.211921630603849,1.7373072102012832,0.5637967404013582
steady,3000.0,4,10.0,2.7381188339228206,0.6337949386001847,0.23147093937196497,5.757303773521613,1.4393259433804033,0.5095296584336786
steady,3000.0,4,20.0,2.843533027747177,0.4497489597755938,0.15816554806536318,5.224238230709548,1.306059557677387,0.6691709948688452
