case_name,model_family,k_parameter,t_onset_s,x_onset_m,dx_onset_m,t_peak_s,x_peak_m,dx_peak_m,t_E50_s,x_E50_m,dx_E50_m,tau_cep_s,x_cep_m,dx_cep_m,cwt_zeta,alpha_decay,delta_x_onset_m,delta_x_peak_m,delta_x_cep_m
Steady_Darcy,DARCY,0.0,6.6530000000000005,4098.425,-1.574999999999818,6.6530000000000005,4098.425,-1.574999999999818,6.6529818288710265,4098.411825931495,-1.5881740685053956,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.0394068394612118,0.01515890337167188,0.0,0.0,0.0
Brunone_IAB_k0.01,IAB,0.01,6.6530000000000005,4098.425,-1.574999999999818,6.667,4108.575,8.574999999999818,6.665921114160418,4107.792807766303,7.792807766302758,5.666999999999375,4108.574999999547,8.57499999954689,0.043011320980489244,0.016545464379932543,0.0,10.149999999999636,9.424999999998363
Brunone_IAB_k0.05,IAB,0.05,6.66,4103.5,3.5,6.715,4143.375,43.375,6.712454635955857,4141.5296110679965,41.529611067996484,5.703999999999372,4135.399999999545,35.39999999954489,0.059969168831563856,0.023068757810226045,5.074999999999818,44.94999999999982,36.24999999999636
Vardy_Brown_WFB,WFB,Physical C*(Re),6.6530000000000005,4098.425,-1.574999999999818,6.654,4099.15,-0.8500000000003638,6.653000341335574,4098.425247468291,-1.5747525317092368,5.653999999999377,4099.1499999995485,-0.8500000004514732,0.04027806124223254,0.015494042321518105,0.0,0.7249999999994543,0.0
