sample_id,n_frac,fracture_positions_m,fracture_Cf_m2,fracture_kleak_m2p5_s,fracture_Kp_s2_m5,fracture_alpha_ss,fracture_Q_ss_m3_s,fracture_types,pump_closure_tc_s,ramp_type,wavespeed_m_s,H_ext_m,initial_velocity_m_s,H0_realized_m,perf_num_holes,perf_diameter_m,perf_cd,has_fault,fault_cluster_idx,steady_mass_residual,pre_shut_drift_m
273,4,4533.7896|4580.013|4625.245|4653.3164,0.009283288|0.009153107|0.009937629|0.008282945,0.0008457558|0.0009398927|0.0009367325|0.00077075453,150355.4|150355.4|150355.4|150355.4,0.2445193|0.26709843|0.2656465|0.22273582,0.0037436436|0.004089335|0.0040671052|0.003410134,Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇,0.01675899513065815,cosine,1451.24365234375,124.53272247314453,0.9988463521003723,189.53106689453125,16,0.008557663351403268,0.6326604826028465,0,-1,2.450786156047574e-13,3.723243935382925e-12
274,4,4758.112|4788.107|4811.234|4858.9443,0.023766806|0.02834802|0.023029605|0.012,8.8872885e-06|9.645187e-06|1.08192235e-05|0.0005,321901.3|321901.3|321901.3|321901.3,0.017421398|0.018904168|0.021202676|0.94247174,0.00030186516|0.0003275575|0.00036738437|0.016330456,Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type V: 沟通天然断层/强微裂缝簇,0.06618180871009827,linear,1484.4337158203125,188.86122131347656,1.1304394006729126,1400.5435791015625,8,0.009964736395138148,0.6377898709028372,1,3,1.8140884302554616e-13,1.723492459859699e-10
275,6,4651.1523|4683.4272|4725.974|4742.418|4760.725|4770.822,0.013778235|0.013544464|0.014781039|0.013376097|0.01590872|0.012,1.4253846e-05|9.629617e-06|9.9014815e-06|1.4220076e-05|9.744954e-06|0.0005,196749.31|196749.31|196749.31|196749.31|196749.31|196749.31,0.026126932|0.017647836|0.018141683|0.02605173|0.017851695|0.8941801,0.00037495192|0.000253267|0.00026035428|0.00037387264|0.0002561926|0.012832526,Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type IV: 砂堵闭合/未起裂死簇|Type V: 沟通天然断层/强微裂缝簇,0.09595142304897308,linear,1494.9556884765625,85.14228820800781,0.9362772107124329,816.2576904296875,8,0.010891256102320498,0.6829015101173452,1,5,7.615241580773494e-14,4.8203219193965197e-11
276,2,4706.7373|4740.22,0.005964556|0.0071735466,1.1156331e-05|0.0005,427135.56|427135.56,0.022938296|0.9770617,0.00046410898|0.019768821,Type IV: 砂堵闭合/未起裂死簇|Type V: 沟通天然断层/强微裂缝簇,0.0075340233743190765,linear,1489.5911865234375,134.3116455078125,1.3200066089630127,1942.849609375,8,0.008966178591514226,0.6838691202376277,1,1,1.594719771817396e-14,1.6825651982799172e-11
277,1,4613.9546,0.012,0.0014805245,718725.4,1.0,0.0134274475,Type V: 沟通天然断层/强微裂缝簇,0.021201198920607567,linear,1454.48095703125,74.23757934570312,0.876013457775116,320.12921142578125,6,0.008706741130210138,0.7454467252669509,1,0,8.371664364341391e-14,5.684341886080802e-14
278,1,4738.841,0.03311872,0.00021475684,246551.22,1.0,0.022834085,Type I: 优势发育主进液簇,0.09715817868709564,linear,1490.83447265625,139.9491424560547,1.489707112312317,11673.099609375,12,0.00885573137728906,0.6151441873002708,0,-1,1.0787852273812237e-14,0.0
279,1,4649.9624,0.012,0.0005,384669.28,1.0,0.020937141,Type V: 沟通天然断层/强微裂缝簇,0.06834489852190018,linear,1454.146240234375,62.994747161865234,1.3659496307373047,2067.34912109375,6,0.010288494931067897,0.7297295294168933,1,0,2.933027423907865e-14,9.185896487906575e-11
280,3,4737.4814|4775.479|4812.5693,0.015649814|0.012988685|0.011661085,1.9288127e-05|2.297892e-05|0.0005,82994.875|82994.875|82994.875,0.03592078|0.042784814|0.9212944,0.0004637756|0.00055239757|0.011894894,Type IV: 砂堵闭合/未起裂死簇|Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇,0.013041481375694275,linear,1494.3372802734375,181.51071166992188,0.8423244953155518,792.0413818359375,12,0.010766981802741491,0.7172421118062805,1,2,1.2791017431432877e-13,1.4438228390645236e-11
281,6,4543.8447|4566.3|4602.7266|4652.296|4689.0737|4720.0776,0.017453356|0.014300059|0.017009411|0.01680917|0.016018987|0.014611338,2.7051079e-05|2.2630613e-05|2.0722524e-05|2.1879949e-05|2.7227437e-05|2.1270698e-05,158210.08|158210.08|158210.08|158210.08|158210.08|158210.08,0.19214818|0.16075075|0.14719717|0.15541723|0.19339705|0.15108961,0.0034301425|0.0028696496|0.0026276973|0.0027744384|0.0034524365|0.0026971835,Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type III: 受抑/欠发育弱进液簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇|Type II: 均衡/正常发育簇,0.05628814175724983,cosine,1404.0478515625,73.70507049560547,1.1646440029144287,16213.1279296875,16,0.008356912557836625,0.6467431698065478,0,-1,5.3251880579837166e-14,3.9108272176235914e-10
282,3,4871.636|4915.427|4940.127,0.0069981953|0.0063530006|0.005310655,0.00014585834|0.00019735134|0.00016770713,1117101.5|1117101.5|1117101.5,0.28691205|0.38446715|0.3286208,0.0050882576|0.006818354|0.005827944,Type II: 均衡/正常发育簇|Type I: 优势发育主进液簇|Type II: 均衡/正常发育簇,0.039109185338020325,linear,1477.790771484375,169.93124389648438,1.1570112705230713,1477.9405517578125,6,0.008546283604514123,0.6205952522388197,0,-1,9.566405691696298e-14,2.0168045011814684e-10
283,4,4608.575|4654.0835|4687.835|4730.8145,0.006890664|0.0059105703|0.0049156444|0.006728721,0.00067021453|0.0006422092|0.00075783767|0.0006435674,773359.1|773359.1|773359.1|773359.1,0.248774|0.24024606|0.27066255|0.24031739,0.00364496|0.003520011|0.003965664|0.0035210561,Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇|Type V: 沟通天然断层/强微裂缝簇,0.02339859865605831,cosine,1466.0386962890625,165.70565795898438,0.9558837413787842,245.92376708984375,6,0.008809969292010153,0.7018914852947434,0,-1,8.536459028801041e-14,2.034994395216927e-11
284,3,4670.898|4692.0757|4715.7925,0.021256784|0.012|0.024921797,1.3554151e-05|0.0005|1.0755344e-05,1018953.4|1018953.4|1018953.4,0.028797004|0.9483535|0.022849439,0.0005761355|0.018973507|0.00045714382,Type IV: 砂堵闭合/未起裂死簇|Type V: 沟通天然断层/强微裂缝簇|Type IV: 砂堵闭合/未起裂死簇,0.07684696465730667,linear,1409.03515625,178.720947265625,1.3052527904510498,2061.386474609375,4,0.010039854279217268,0.7062665714554803,1,1,1.5433802578513657e-14,1.4142642612569034e-10
285,6,4706.232|4716.5703|4730.3647|4744.3013|4778.737|4809.7715,0.031348374|0.027521456|0.012|0.025320705|0.029245498|0.030225268,0.00033710283|0.00024112703|0.0015|0.00023678146|0.00033709037|0.0002684389,314174.28|314174.28|314174.28|314174.28|314174.28|314174.28,0.13015768|0.093801185|0.45018163|0.09201627|0.12981428|0.10402895,0.002562325|0.0018465996|0.008862417|0.0018114612|0.0025555645|0.0020479464,Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇|Type V: 沟通天然断层/强微裂缝簇|Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇|Type III: 受抑/欠发育弱进液簇,0.004827436525374651,cosine,1426.3236083984375,99.51679229736328,1.284345030784607,233.09786987304688,8,0.009557184889221838,0.7018193460682183,1,2,1.344684454930578e-13,5.144329406903125e-12
